,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,times,distance,res
60,4,2,35508,1,9,0,8,0,0,30,0,3.515738499,0.09958136,0,134,232,1
61,5,0,35544,1,10,0,7,1,0,60,0,3.553072626,0.087228056,0.88,98,240,1
62,5,3,35796,1,10,0,1,0,0,60,0,3.103092784,0.041246311,0.82,22,47,0
63,1,0,35812,0,0,2,2,0,0,60,0,1.727272727,0.00123533,0.71,3,9,0
64,5,0,35860,1,9,0,9,0,0,60,0,3.29375,0.072266831,0.833333333,63,234,1
65,5,2,36347,1,5,2,9,0,0,120,0,3.671554252,0.085855466,0.7275,98,240,1
66,1,1,37622,0,6,1,7,0,1,120,0,2.723214286,0.020863359,0.83,39,248,1
67,2,3,37652,0,3,1,1,1,0,50,0,3.90070922,0.037677579,1,52,267,1
68,0,1,38053,1,10,0,7,1,0,60,0,3.425587467,0.089973235,0.74,135,267,1
69,1,3,39208,0,10,0,8,1,0,120,0,2.834422658,0.08921831,0.81,155,262,1
70,3,1,39411,0,11,2,0,0,0,60,0,2.827586207,0.011186604,0.7,14,37,0
71,1,0,39655,0,6,2,4,0,0,120,0,2.485294118,0.023128131,0.821428571,34,217,1
72,3,2,39660,0,5,2,0,0,0,120,0,2.240143369,0.042824789,0.645,65,144,0
73,5,2,39882,0,6,0,7,0,1,120,0,4.25093633,0.077825818,0.811111111,43,210,1
74,3,1,40184,1,10,1,2,2,0,60,0,2.315789474,0.08146318,0.9325,141,258,1
75,3,1,40563,0,7,0,0,0,0,60,0,1.888888889,0.031432297,0.8375,54,233,1
76,2,2,40604,1,2,0,4,1,0,30,0,2.520710059,0.029167525,0.795,44,236,1
77,5,3,40878,1,5,2,0,0,0,120,0,3.695175439,0.115572027,0.91,83,255,1
78,3,0,41060,1,2,1,6,0,0,60,0,1.948571429,0.02333402,0.88375,32,170,0
79,6,2,41414,0,11,2,0,0,0,30,1,2.441340782,0.029922449,0.776666667,62,231,1
80,5,2,41489,0,0,2,1,0,0,60,0,1.892857143,0.003568732,0,6,24,0
81,5,3,42552,0,0,0,7,0,0,90,0,4.302228412,0.211927802,0.76,128,263,1
82,5,1,42616,0,6,2,7,1,0,60,0,3.315372425,0.143504221,0.736666667,159,251,1
83,4,1,42638,1,6,1,8,1,0,60,0,4.640330189,0.269988333,0,240,267,1
84,5,0,42668,1,3,2,9,1,1,120,0,3.213483146,0.098071512,0.8,102,232,1
85,2,3,42746,0,8,1,4,1,0,60,0,3.631067961,0.102601057,0.945,207,226,1
86,5,2,42746,0,8,1,4,1,0,60,0,4.216261526,0.345137602,0,207,226,1
87,3,1,42818,0,0,2,3,0,0,180,1,2.150537634,0.013657264,0.39,14,37,0
88,5,0,43273,1,1,1,5,1,0,90,0,3.103448276,0.043167936,0.7325,66,226,1
89,4,1,43564,1,6,1,7,1,0,60,0,3.8,0.099032324,0.953333333,110,261,1
90,5,3,43958,1,10,0,8,1,1,60,0,3.067039106,0.075286528,0.836363636,82,104,0
91,5,3,45423,1,9,2,6,1,0,60,0,5.237995825,0.172122709,0.625,78,241,0
92,0,1,45462,1,6,1,2,0,0,60,0,4.304347826,0.061080228,0.656666667,87,267,1
93,0,1,45642,0,5,0,8,0,0,120,0,2.57771261,0.060256674,0.72,103,264,1
94,3,0,45664,1,12,1,5,0,1,60,0,2.58490566,0.056344794,0.486,82,235,1
95,2,3,46705,1,2,1,4,1,0,60,0,2.732673267,0.056756571,0.9925,63,221,0
96,3,2,46753,0,0,0,5,1,0,60,0,3.279518072,0.093336079,0.7275,76,229,1
97,4,3,47061,1,1,0,8,0,0,30,0,3.338028169,0.016196555,0.746666667,20,205,1
98,5,3,47861,1,7,0,4,0,0,60,1,4.993955095,0.396815593,0.638,185,249,1
99,1,3,47891,0,10,2,9,0,4,60,0,2.145454545,0.008029648,0.656666667,13,124,0
100,5,1,47924,1,11,2,0,1,0,60,0,2.615384615,0.002264772,0.41,2,3,0
101,1,1,48040,0,1,0,1,1,0,120,0,2.291581109,0.076521858,0.752857143,155,268,1
102,1,1,48503,0,11,2,9,0,0,60,0,2.744,0.023471279,0.77,39,245,1
103,5,2,48635,1,8,1,8,0,0,60,0,3.970149254,0.16423032,0.857777778,152,241,1
104,2,2,49119,1,2,1,9,0,0,90,0,2.785467128,0.055178093,0.778333333,113,60,1
105,6,2,49123,1,12,2,4,0,0,30,0,4.861842105,0.050648548,0.865,62,224,1
106,1,2,50069,0,6,0,2,0,0,90,0,2.556213018,0.029579301,0.848333333,27,220,0
107,5,0,50263,1,11,1,7,1,0,60,0,5.083989501,0.265801935,0.763,151,240,1
108,3,2,50476,0,9,1,0,0,0,60,0,2.224242424,0.025118386,0.88,30,228,1
109,5,1,50487,0,0,2,8,0,1,60,0,4.932389937,0.215222016,0.82625,124,265,1
110,1,0,50993,0,6,2,0,0,0,60,1,2.097222222,0.01029442,0.585,22,171,0
111,3,2,51030,1,11,0,5,0,0,60,0,2.145539906,0.031295038,0.8425,61,233,1
112,3,3,51033,0,8,0,7,0,0,60,0,2.238372093,0.052776062,0.94,50,240,1
113,5,1,51485,1,11,2,9,0,0,120,0,3.155555556,0.077894448,0.915,83,265,1
114,5,1,51576,0,3,2,9,0,0,90,0,5.820158103,0.202045158,0.859166667,100,248,1
115,3,3,51955,1,6,0,7,0,0,60,1,1.424242424,0.022510466,0.55,62,259,0
116,3,0,52014,0,10,2,0,1,2,120,0,2.65,0.014480818,0.45625,46,219,0
117,0,1,52130,0,0,0,6,0,0,90,0,3.344936709,0.07247272,0.716666667,121,245,1
118,5,3,52275,1,3,3,0,0,0,90,0,3.37037037,0.006176652,0.38,5,35,0
119,1,2,52426,0,6,2,6,1,1,60,0,2.193548387,0.004598174,0.73,5,76,0
120,6,3,52702,0,6,2,1,1,0,30,0,2.414634146,0.006725688,0.7,15,227,1
121,1,1,52899,0,1,2,4,1,1,90,0,3.025510204,0.081325921,0.815,127,254,1
122,0,1,53025,1,4,4,8,2,0,60,0,3.539449541,0.132317617,0.763333333,138,257,1
123,5,2,53136,0,3,0,2,0,1,120,0,4.209606987,0.132248988,0.772857143,111,226,1
124,5,1,53166,0,4,2,3,0,0,60,0,5.727002967,0.132386247,0.695,63,236,1
125,5,0,53197,0,5,3,0,0,0,60,0,2.727272727,0.004049139,0,5,55,0
126,2,3,53300,1,11,0,8,0,0,270,0,3.605769231,0.077139524,0.902,114,242,1
127,5,1,53626,1,6,1,2,1,0,60,1,2.785714286,0.00260792,0,2,16,0
128,5,2,53709,1,10,0,2,0,1,60,0,10.48780488,0.029442042,0.806,82,239,1
129,3,3,54810,1,8,1,3,0,1,60,0,2.387096774,0.005009951,0.838333333,69,241,1
130,5,2,54867,0,9,2,1,0,0,120,0,3.616766467,0.04138357,0.74,17,30,0
131,5,1,54882,1,6,2,2,0,1,60,0,2.857142857,0.030128337,0.56,35,257,0
132,5,1,55013,1,4,0,9,0,0,120,0,2.99009901,0.04138357,0.5325,34,130,0
133,1,1,55026,0,3,0,1,1,0,60,1,2.68852459,0.011186604,0.751666667,37,239,1
134,3,0,55242,0,5,2,2,0,0,60,0,1.444444444,0.000823554,0,4,64,0
135,5,0,55450,1,7,0,2,1,1,120,0,3.675090253,0.06979617,0.78,37,155,0
136,1,2,55968,0,10,2,9,0,0,120,0,2.994791667,0.039393315,0.673333333,43,206,0
137,1,1,56340,0,8,2,1,0,0,60,0,2,0.000205888,0,1,0,0
138,3,1,57227,0,5,2,5,0,1,160,0,2.574712644,0.061423375,0.84,116,258,1
139,1,3,57285,0,3,0,0,0,0,60,0,2.6,0.004392286,0.476666667,9,194,1
140,2,2,57340,0,0,0,1,0,0,120,0,2.948863636,0.035550065,0.705,51,228,1
141,0,1,57506,1,8,2,6,1,0,60,0,3.713740458,0.066707844,0.74,86,243,1
142,3,1,57818,1,10,0,7,1,0,60,0,3.220910624,0.131013657,0.95,141,256,1
143,0,3,58071,1,0,1,8,2,0,60,0,4.715434084,0.201221605,0.76,126,263,1
144,5,1,58077,1,4,2,1,0,1,60,0,1.761904762,0.002470661,0,4,74,0
145,1,0,58089,0,11,0,3,0,2,90,0,2.279069767,0.006657059,0.875,6,136,0
146,0,3,58316,0,10,0,6,0,0,120,0,3.218181818,0.060668451,0.73,91,253,1
147,5,0,58549,1,4,0,0,0,0,120,0,3.631205674,0.105346236,0.96,77,228,1
148,3,2,58617,1,1,0,6,0,0,60,0,3.175115207,0.047217075,0.475,42,213,0
149,5,1,58640,1,6,0,4,0,0,90,1,2.208762887,0.058746826,0.6075,103,265,1
150,1,3,58653,0,5,2,7,1,1,120,0,2.370786517,0.014412189,0.473333333,40,247,1
151,3,3,58731,0,9,0,3,0,1,110,1,1.964285714,0.007480612,0.59,18,209,1
152,0,1,58873,0,0,0,1,0,0,60,0,3.716216216,0.075423787,0.716666667,117,256,1
153,5,3,58884,1,8,0,3,1,0,90,1,4.005722461,0.192093885,0.921428571,173,269,1
154,0,1,59185,1,0,2,5,1,0,60,0,3.617647059,0.059021344,0.72,57,245,1
155,1,3,59272,0,7,2,5,0,0,60,0,3.422310757,0.058884085,0.65,74,251,1
156,3,1,59275,1,6,1,3,0,0,60,0,3.414285714,0.032736257,0.525,26,165,0
157,3,1,59370,1,2,0,0,1,0,180,0,2.71942446,0.077757189,0.7125,137,261,1
158,3,0,60135,0,11,0,4,0,0,60,0,3.164520744,0.151739757,0.704285714,101,240,1
159,6,1,60405,0,12,0,9,1,0,30,0,3.525,0.019284881,0.89,51,258,1
160,2,3,60809,1,7,2,8,0,0,120,0,5.108225108,0.080914145,0.914285714,181,240,1
161,4,3,60809,1,7,2,8,0,0,120,0,3.044198895,0.075561046,0,181,240,1
162,1,2,60830,0,8,1,5,0,0,120,0,3.197802198,0.059844897,0.777142857,77,220,1
163,2,2,62278,1,11,0,2,0,0,40,0,2.494382022,0.060874339,0.66,74,177,0
164,0,3,62487,0,1,0,9,0,0,60,0,2.607526882,0.033216663,0.76,53,241,1
165,1,0,62631,0,5,0,1,0,0,60,0,3.301886792,0.035961842,0.804285714,33,129,0
166,6,1,62975,1,8,2,2,1,0,30,0,2.620689655,0.01036305,0.766666667,16,150,0
167,3,3,63015,0,0,2,6,1,1,60,0,2.207843137,0.038569762,0.84,58,262,0
168,4,1,63112,1,7,2,7,1,0,60,0,5.343283582,0.171916821,0.676666667,105,112,1
169,0,3,63165,1,7,0,7,1,0,60,0,2.922279793,0.038638391,0.485,85,267,1
170,5,1,63295,1,8,1,8,1,0,150,0,2.839285714,0.032667627,0.726666667,43,257,1
171,0,1,63400,1,6,2,3,1,0,60,0,4.131455399,0.120719237,0.676666667,168,268,1
172,1,3,63467,0,5,0,4,1,0,120,0,3.08490566,0.022373207,0.543333333,26,200,1
173,1,2,63721,0,7,2,7,0,0,60,1,2.171821306,0.043305195,0.82,64,218,1
174,3,1,63856,1,6,0,5,1,1,60,0,2.285714286,0.031775444,0.6525,100,258,1
175,6,3,63949,0,2,2,2,0,0,30,0,3.219178082,0.016059296,0.865,30,210,1
176,5,2,63958,1,8,2,9,0,0,60,0,2.037037037,0.007480612,0,9,45,0
177,1,2,64275,0,11,2,0,0,2,60,1,2.65,0.010843456,0.807142857,22,207,1
178,2,2,64296,1,6,1,1,0,0,60,0,4.306122449,0.043373825,0.865,30,67,0
179,3,2,64450,1,11,2,2,0,1,120,0,3.43197756,0.167867682,0.455,142,236,1
180,0,3,65002,0,0,0,6,0,1,60,0,3,0.000137259,0.67,13,215,0
181,2,2,66254,0,2,0,4,0,0,30,0,3.478743068,0.129092032,0.7375,80,223,0
182,3,1,66577,0,5,1,9,0,1,60,0,1.906666667,0.009745385,0.83,12,86,0
183,4,1,66713,1,8,0,8,0,0,60,0,4.764900662,0.098689177,0.763333333,83,248,1
184,6,1,67182,0,8,0,7,1,0,30,0,2.095890411,0.010431679,0.825,32,229,1
185,3,1,67471,0,3,2,1,0,2,60,0,2.385826772,0.041520829,0.68,47,253,1
186,4,3,67539,1,2,2,9,0,0,60,0,3.709677419,0.063070482,0.683333333,85,265,1
187,3,0,67602,1,2,2,2,0,1,60,0,2.073394495,0.030951891,0.53875,72,234,1
188,4,3,67685,1,8,0,9,0,0,180,0,2.852295409,0.098002882,0.79,166,269,1
189,3,2,67781,0,8,0,1,0,0,60,0,2.343478261,0.073913939,0.7425,127,236,1
190,3,0,67785,0,3,2,1,0,0,120,1,2.775510204,0.055933018,0.76375,74,234,1
191,5,1,68107,0,3,0,4,0,0,60,1,3.739726027,0.149818132,0.876666667,116,243,1
192,5,0,68208,1,6,1,6,1,2,270,0,4.003384095,0.32468602,0.6425,142,240,0
193,3,3,68417,1,6,2,6,0,0,60,0,3.067164179,0.056344794,0.8375,85,239,1
194,1,1,68556,0,7,1,6,0,0,60,0,1.849056604,0.006657059,0.57,13,96,0
195,2,2,69703,1,12,2,1,0,0,120,0,2.735849057,0.02978519,0.7975,67,230,1
196,0,3,70011,0,6,1,3,0,0,60,0,3.513541667,0.231418571,0.76,220,269,1
197,4,1,70214,1,10,2,6,0,0,120,0,4.512287335,0.163749914,0.475,139,244,1
198,2,2,70381,1,6,1,2,1,0,30,0,2.53125,0.027726306,0.7225,65,241,1
199,2,3,70495,1,6,2,4,0,0,60,0,3.306034483,0.052570174,0.886666667,183,250,1
200,5,1,70495,1,6,2,4,0,0,60,0,4.227091633,0.218378972,0,183,250,1
201,1,3,70569,0,10,2,0,0,3,60,0,3.842975207,0.031844074,0.483333333,52,256,1
202,1,0,70608,0,7,1,6,1,0,240,0,2.236111111,0.010980715,0.821428571,27,233,1
203,5,3,71159,1,4,2,7,1,0,60,0,4.214015152,0.15263194,0.593333333,113,263,1
204,3,1,71209,1,7,2,4,1,0,60,0,1.589285714,0.012147416,0.615,66,241,1
205,5,1,71252,1,5,2,0,0,0,60,1,1.825503356,0.018598586,0.7775,36,237,1
206,0,1,71361,1,2,1,0,1,0,60,0,3.548654244,0.117562281,0.833333333,126,243,1
207,1,0,71433,0,5,0,4,0,1,150,0,1.5,0.004049139,0,8,19,0
208,1,3,71504,0,0,0,1,1,0,120,0,2.536458333,0.033353922,0.91,56,237,1
209,5,0,71578,1,8,0,8,0,0,60,0,2.353932584,0.028687118,0.785,53,225,1
210,2,3,71723,1,5,0,9,0,0,30,0,3.424,0.029304783,0.611428571,53,180,0
211,3,2,71723,1,5,0,9,0,0,60,0,2.083333333,0.017088738,0,53,180,0
212,5,2,72114,1,4,0,3,0,1,120,1,3.731283422,0.19147622,0.79875,135,241,1
213,1,2,72400,0,0,0,5,0,0,120,1,2.061068702,0.018461327,0.814285714,35,216,1
214,2,3,72609,0,10,2,4,1,0,120,0,3.57790927,0.248919086,0.6525,196,269,0
215,5,0,72693,0,12,2,3,0,0,140,1,4.078125,0.071580537,0.786,85,226,1
216,1,1,73489,0,8,1,7,0,0,120,0,3.489675516,0.081120033,0.725714286,141,264,1
217,3,3,73664,1,5,0,3,0,0,120,0,1.428571429,0.006108023,0.25,26,125,0
218,5,0,74113,1,12,0,0,0,1,60,0,3.376623377,0.035618695,0.616666667,23,158,0
219,5,3,74165,1,11,0,2,0,0,60,0,4.69787234,0.075698305,0.875,62,269,1
220,0,1,74372,1,0,0,9,1,0,150,0,1.68,0.005696246,0.483333333,14,213,0
221,5,2,74521,1,4,1,0,1,0,120,0,3.2265625,0.028275341,0.573333333,46,227,1
222,1,1,74585,0,10,0,5,1,0,60,0,7.683333333,0.34795141,0.854285714,168,265,1
223,1,0,74734,0,5,2,0,0,0,180,0,1.835294118,0.010637568,0.795,34,224,1
224,5,3,75107,1,4,2,2,1,0,60,0,3.739035088,0.233957862,0.941666667,172,266,1
225,0,3,75255,1,5,0,3,0,0,120,0,3.371980676,0.04783474,0.776666667,76,243,1
226,1,0,75399,0,0,2,5,1,0,60,0,1.884297521,0.01557889,0.725,49,219,1
227,3,3,75427,1,1,2,1,0,0,60,0,3.068669528,0.049001441,0.7425,108,261,0
228,2,2,75454,1,9,0,7,0,0,120,0,6.637426901,0.233614714,0.8475,116,237,1
229,2,2,75728,0,9,1,2,1,0,30,0,4.169642857,0.12813122,0.685,55,100,0
230,3,0,76536,0,11,2,5,0,1,120,0,1.285714286,0.001166701,0.6625,7,37,0
231,0,1,77367,1,1,0,2,0,0,60,0,2.694736842,0.035069659,0.736666667,83,250,1
232,5,3,77692,1,10,1,4,1,0,60,0,5.628140704,0.076796376,0.85,30,241,1
233,5,1,77744,1,5,0,3,0,0,60,0,3.671018277,0.096424405,0.825,81,231,1
234,3,0,77763,1,0,1,1,1,0,150,0,2.357594937,0.051060325,0.93125,92,226,1
235,5,2,77845,1,1,0,2,0,0,120,0,3.371428571,0.03232448,0.683333333,18,129,0
236,5,3,77995,1,1,0,9,0,0,60,0,2.255813953,0.013245488,0.736666667,30,233,1
237,3,1,78170,0,11,2,2,0,0,60,0,3.098484848,0.140278636,0.815,104,236,0
238,1,2,78255,0,4,2,0,0,2,120,0,1.632911392,0.008784572,0.7875,36,215,0
239,1,0,78645,0,0,2,3,0,0,60,0,2.118556701,0.028138082,0.7325,38,179,0
240,5,1,79261,1,8,0,8,0,0,90,0,3.071969697,0.05558987,0.8125,59,236,1
241,2,3,79461,1,6,0,6,0,1,60,0,1,0,0.406666667,46,218,0
242,5,3,79610,1,11,0,5,0,0,60,0,4.22752809,0.103218722,0.87,87,264,1
243,2,3,80329,1,8,2,7,0,1,90,0,3.937823834,0.052089767,0.698,164,253,1
244,3,3,80329,1,8,2,7,0,2,90,0,1.692015209,0.030471484,0,164,253,1
245,4,3,80358,1,6,2,5,0,0,120,0,2.795121951,0.039256057,0.71,81,242,1
246,5,3,80438,1,1,0,8,0,0,120,0,6.255905512,0.218035825,0.938571429,103,263,1
247,1,1,80717,0,9,2,5,1,0,60,0,3.252268603,0.12291538,0.912857143,191,267,1
248,2,3,80868,1,9,2,7,0,0,60,0,8.205488194,0.882369089,0.735,269,259,1
249,3,1,80868,1,9,2,7,0,0,60,0,3.617594255,0.138219752,0,269,259,1
250,3,0,81351,1,6,1,8,1,1,60,1,2.5,0.0414522,0.7875,96,214,0
251,5,1,81536,1,6,2,7,1,1,60,0,2.708571429,0.032461739,0.68,23,68,0
252,5,3,82201,0,3,2,4,0,1,60,0,2,6.86E-05,0.65,25,-15,0
253,6,1,82341,0,7,2,8,0,0,30,1,2.478873239,0.012010157,0.766666667,28,227,1
254,2,2,82575,1,11,1,7,0,0,30,0,2.718181818,0.020451582,0.9175,40,233,1
255,1,0,82741,0,0,2,4,0,0,60,0,2.531007752,0.044746414,0.754285714,43,225,1
256,5,0,82817,0,3,1,1,1,1,60,0,2.771084337,0.031500926,0.836666667,47,222,1
257,2,2,83219,0,11,0,0,0,0,60,0,3.773755656,0.057168348,0.782857143,125,233,1
258,4,2,83219,0,11,0,0,0,0,60,0,3.868194842,0.092581154,0,125,233,1
259,1,0,83254,0,3,1,9,1,0,60,0,2.276595745,0.036648137,0.768571429,70,238,1
260,3,3,83553,1,11,2,2,0,1,60,0,2.519230769,0.026902752,0.616666667,29,110,0
261,5,2,83603,1,3,0,5,1,0,60,0,3.287846482,0.105758012,0.72,114,236,1
262,5,0,84051,1,10,0,5,0,0,120,0,2.544303797,0.013725894,0.78,27,220,0
263,1,0,84245,1,10,0,4,0,0,120,0,2.152892562,0.035687324,0.84375,68,227,1
264,5,2,84299,1,3,0,1,0,0,120,0,2.064039409,0.028687118,0.67375,83,226,1
265,1,3,84541,0,4,0,9,0,0,120,0,2.887096774,0.012216046,0.34,9,69,0
266,3,2,84576,1,10,1,2,1,0,150,0,2.845783133,0.080982774,0.94,101,239,1
267,3,2,84605,1,4,0,6,1,1,120,0,3.403669725,0.025392904,0.867142857,72,240,1
268,1,0,84664,0,5,0,5,1,0,60,0,2.762589928,0.026285087,0.878571429,33,226,1
269,0,3,85144,1,6,0,4,1,0,60,0,2.36407767,0.033353922,0.766666667,72,269,1
270,0,3,85302,1,3,2,7,1,0,60,0,3.229166667,0.09566948,0.71,125,250,1
271,3,0,86047,0,10,1,1,0,0,60,0,2.486842105,0.03884428,0.565,47,227,1
272,5,1,86669,1,1,0,3,0,1,220,0,4.257763975,0.094022373,0.892857143,81,264,1
273,3,0,87107,0,9,1,6,0,0,60,0,2.240816327,0.037608949,0.731666667,77,226,1
274,5,0,87152,1,0,2,1,0,0,60,1,3.71009772,0.078100336,0.814,106,213,1
275,5,3,87264,1,7,2,2,0,0,60,0,4.893432466,0.270949146,0.954,168,269,1
276,5,3,87322,1,10,2,4,0,0,120,1,2.52173913,0.043716972,0.786666667,62,243,1
277,6,1,87929,0,3,0,4,0,0,30,0,3.948453608,0.026216457,0.8,34,223,1
278,3,3,88439,0,0,1,2,0,0,60,0,1.911111111,0.023539908,0.88,68,241,1
279,4,1,88568,1,5,1,6,1,0,30,0,4.170172084,0.149612243,0.906666667,131,265,1
280,5,1,88781,1,7,0,5,0,1,60,0,3.107623318,0.047491593,0.5525,51,164,0
281,3,2,88910,0,5,2,9,0,1,180,0,2.084388186,0.033834328,0.64,56,228,1
282,1,2,89092,0,10,2,4,0,2,60,0,1.849315068,0.009196349,0.704285714,23,233,1
283,3,1,89188,0,8,0,4,0,0,60,1,2.445783133,0.069590282,0.67,102,234,1
284,4,3,89545,1,8,1,8,0,0,30,0,2.847619048,0.020451582,0.863333333,32,269,1
285,3,1,89727,0,10,0,3,0,0,70,0,2.232,0.019078993,0.56,39,202,0
286,1,2,89778,1,7,0,6,0,1,120,0,1.842105263,0.004735433,0.918571429,12,201,1
287,1,3,89850,0,8,1,8,0,0,120,0,3.201550388,0.056619312,0.58,60,244,1
288,5,0,89895,1,12,2,3,0,0,60,0,3.869879518,0.220369227,0.768333333,186,227,1
289,1,1,90243,0,10,1,6,1,0,60,0,3.52,0.05428591,0.648571429,55,261,1
290,1,2,90361,0,10,1,1,1,0,60,0,1.878787879,0.008441425,0.794285714,19,213,1
