,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,times,distance,max_dist,res
59,3,0,69491,0,0,2,7,0,4,60,0,2.57,0.017569144,0.66375,49,226,17,1
60,0,1,70464,0,11,0,5,1,0,60,0,4.40397351,0.045569968,0.596666667,45,248,24,1
61,4,2,70537,1,3,2,9,1,0,120,0,4.277044855,0.111179741,0.813333333,118,239,14,1
62,3,3,71676,0,1,2,7,0,0,60,0,2.063909774,0.037608949,0.685,86,253,19,1
63,5,1,72864,0,12,2,9,1,2,60,0,4.045226131,0.055178093,0.756,42,231,45,1
64,3,3,73019,1,6,1,4,0,0,60,0,3.893203883,0.027451788,0.6275,37,235,29,0
65,3,1,74502,0,10,2,5,0,0,120,0,2.198275862,0.122434974,0.665,194,261,17,1
66,5,2,74524,0,1,2,6,1,0,120,1,2,0.0065198,0.86,7,48,18,0
67,1,0,74695,0,4,2,3,0,0,90,0,4.113323124,0.184270126,0.947142857,117,236,12,1
68,0,1,75091,1,9,0,2,1,0,60,0,4.580645161,0.126621371,0.666666667,117,254,10,1
69,3,3,76081,0,1,2,5,0,1,150,1,1.97826087,0.024912497,0.715714286,122,261,43,1
70,4,3,76579,0,12,1,9,0,1,120,0,3.308333333,0.02717727,0.69,106,235,21,1
71,2,3,76949,1,3,1,4,1,0,30,0,2.714932127,0.041109052,0.875,89,268,20,1
72,5,1,77746,1,10,0,2,0,0,60,0,3.666666667,0.007480612,0.74,8,53,24,0
73,5,2,77998,1,2,2,5,1,2,90,0,1.133333333,0.001098072,0.720909091,72,228,43,1
74,5,0,80745,0,1,0,3,0,1,60,1,3.242574257,0.044883673,0.846,43,235,50,1
75,3,3,80775,1,10,0,4,1,0,60,0,2.02764977,0.030128337,0.84,77,240,15,1
76,3,1,82088,0,1,1,6,1,2,60,0,2.5,0.075423787,0.803333333,67,110,16,0
77,1,0,82535,0,10,2,1,0,0,180,0,2.108527132,0.018598586,0.67,42,194,23,1
78,5,0,82556,1,2,2,6,0,0,60,0,7.254716981,0.105483495,0.7825,18,88,24,0
79,5,3,84604,0,4,0,5,1,0,90,0,4.657232704,0.304852103,0.90125,153,258,12,1
80,1,1,84812,0,0,0,7,0,0,120,0,2.1875,0.019147622,0.9,46,266,28,1
81,0,3,85092,0,9,2,2,0,0,60,0,2.796460177,0.021618283,0.63,32,241,36,1
82,1,1,86291,0,10,1,4,1,1,60,0,2.928571429,0.005558987,0.75,12,156,54,0
83,1,0,87732,1,1,0,2,1,0,75,0,2.409638554,0.054834946,0.85,82,236,20,1
84,3,2,88490,1,6,4,8,1,0,60,0,2.080168776,0.033765699,0.95,77,235,19,1
85,3,0,89051,1,5,0,2,1,0,120,1,2.526946108,0.057854643,0.85625,111,236,12,1
86,3,2,89904,1,10,2,2,1,0,60,0,1.869731801,0.033422552,0.89,83,240,12,1
87,0,1,91265,1,5,1,0,0,0,60,0,3.132653061,0.063139112,0.746666667,123,259,9,1
88,1,0,92947,0,10,1,9,1,0,120,0,2.556603774,0.055727129,0.85,126,240,13,1
89,5,3,94749,1,10,2,8,0,0,60,0,3.986899563,0.125248782,0.64,94,248,65,0
90,4,1,96873,1,5,0,6,0,0,30,0,3.165354331,0.027520417,0.92,21,120,30,0
91,3,2,97939,1,6,0,3,0,0,60,1,2.085106383,0.006657059,0.69,11,52,19,0
92,0,1,98094,1,10,2,6,1,0,60,0,7.882352941,0.137876604,0.6,85,264,17,1
93,3,2,99151,1,3,2,3,0,0,120,0,5.513888889,0.02717727,0.46,11,30,6,0
94,1,2,99799,0,1,0,9,0,1,120,0,2.403940887,0.033422552,0.778571429,47,219,24,1
95,5,0,99993,0,0,0,0,0,0,120,0,3.870879121,0.193329216,0.798571429,132,237,13,1
96,2,3,100788,1,6,1,7,0,1,60,0,3.084942085,0.054766317,0.886666667,170,266,31,1
97,5,1,100788,1,6,1,7,0,0,90,0,3.36123348,0.104659941,0,170,266,31,1
98,3,3,101279,0,12,0,0,1,0,60,0,2.153846154,0.007617871,0.55,8,37,17,0
99,5,2,101634,1,12,3,0,0,0,90,0,3.725490196,0.026010569,0.84,14,85,16,0
100,5,1,102028,1,8,0,8,1,1,60,0,3.708641975,0.206094297,0.91,172,267,12,1
101,3,1,102850,0,9,0,6,1,0,165,0,2.554959786,0.065335255,0.8575,88,250,21,1
102,0,1,102952,1,3,1,5,0,0,60,0,4.061452514,0.049824995,0.763333333,57,246,22,1
103,1,3,103496,0,2,2,9,1,0,60,0,3.085409253,0.059433121,0.716666667,59,223,18,1
104,3,0,103904,1,8,1,6,0,0,60,0,2.938271605,0.081600439,0.852222222,90,240,39,1
105,4,1,105168,1,6,1,6,0,0,90,0,4.647540984,0.03884428,0,47,116,29,0
106,2,2,105523,1,6,1,5,1,0,90,0,2.678787879,0.030265596,0.593333333,159,257,30,1
107,3,1,105523,1,6,1,5,1,0,90,0,2.283783784,0.034726512,0,159,257,30,1
108,5,1,105629,1,7,0,9,1,0,60,0,3.946469248,0.237732482,0.877142857,173,267,9,1
109,1,1,105883,0,5,0,0,1,0,60,0,4.306557377,0.180220987,0.778571429,165,265,21,1
110,4,1,107339,0,6,1,9,0,0,60,0,4.112600536,0.105208977,0,177,268,15,1
111,5,2,108207,1,8,3,4,0,0,120,0,3.762745098,0.131631322,0.72,125,229,14,1
112,1,3,108859,1,9,0,6,0,0,60,1,2.983490566,0.086747649,0.446666667,122,262,10,1
113,5,3,108949,1,5,2,9,0,2,60,0,1.47826087,0.004598174,0.816,49,169,22,0
114,1,1,109372,0,9,2,6,0,0,60,0,3.485815603,0.067394139,0.815714286,119,264,19,1
115,5,3,109577,1,5,0,6,0,0,120,0,2.764397906,0.03616773,0,79,239,43,1
116,6,2,109772,0,8,0,2,0,0,30,0,2.413793103,0.004735433,0.7625,13,159,28,1
117,5,1,110881,0,0,0,3,0,0,60,0,3.798611111,0.15009265,0,160,261,17,1
118,0,1,111717,0,0,1,8,1,0,60,0,4.508333333,0.111317,0.8,132,249,14,1
119,5,0,111775,1,2,1,1,1,1,60,0,3.706065319,0.163475396,0.88,102,236,32,1
120,3,0,112245,1,8,1,8,1,0,60,0,2.609970674,0.122091826,0.86125,118,240,11,1
121,5,1,113565,1,10,0,7,0,0,180,0,3.380566802,0.057236978,0.903333333,40,236,42,1
122,0,1,114017,0,4,4,3,1,0,60,0,3.766423358,0.035344177,0.72,49,257,39,1
123,2,3,114367,0,9,0,6,1,0,60,0,3.331818182,0.100542173,0.94,129,256,16,1
124,1,3,114402,0,7,2,4,0,0,90,1,5.255813953,0.061972411,0.88,65,237,16,1
125,0,1,114999,1,12,1,5,1,0,60,0,2.925795053,0.056756571,0.766666667,115,264,13,1
126,0,3,117818,0,3,0,3,1,0,60,0,3.936170213,0.076110082,0.583333333,90,241,21,1
127,5,1,118050,1,0,2,5,0,0,90,0,2.781990521,0.040216869,0.695,66,259,19,1
128,3,2,118479,1,2,0,4,0,0,60,0,3.401486989,0.188319264,0.8475,135,240,14,1
129,5,0,118532,1,7,2,6,0,0,60,0,3.489855072,0.165191133,0.881428571,136,240,11,1
130,5,3,119310,1,5,2,1,0,0,150,0,4.122112211,0.085649578,0.755,78,257,27,1
131,6,2,120611,1,8,0,1,1,0,30,0,9.75,0.00260792,0.57,11,186,82,0
132,6,3,121182,1,5,0,1,0,0,30,0,1,0,0.69,8,105,49,1
133,0,3,121349,0,9,0,3,1,1,60,0,4.758122744,0.090385011,0.753333333,98,238,15,1
134,3,0,121390,1,5,2,9,1,0,60,0,2.363057325,0.025392904,0.7575,26,71,10,0
135,0,1,123044,1,8,0,3,1,0,60,0,3.625899281,0.103699128,0.73,127,247,13,1
136,1,3,123087,0,11,0,0,0,0,120,0,2,0.012696452,0.816666667,32,233,27,1
137,3,3,123957,0,5,2,6,0,1,60,0,2.37037037,0.004323657,0.618571429,55,130,18,0
138,0,3,124064,0,7,0,5,0,0,120,0,2.633237822,0.063001853,0.863333333,156,269,15,1
139,4,3,124304,1,4,0,9,0,0,60,0,3.659574468,0.058952714,0.91,95,260,23,1
140,6,3,125407,0,0,2,7,0,0,30,1,1.884615385,0.006657059,0.5,14,215,49,1
141,3,1,126812,0,1,0,3,0,0,120,0,2.092724679,0.100610802,0.56875,157,258,25,1
142,6,1,129212,0,8,2,7,0,0,30,0,5.32,0.054697687,0.733333333,55,243,36,1
143,3,3,129989,1,9,0,1,0,0,60,0,2.582338902,0.074188457,0.9525,101,238,15,1
144,5,2,130992,1,8,0,7,0,0,60,0,3.54180602,0.072609979,0.7475,118,239,14,1
145,5,0,131272,1,12,2,9,0,0,120,0,4.084406295,0.195868506,0.728,156,227,5,1
146,6,3,131314,1,8,0,1,1,0,30,0,8,0.001578478,0.5,15,158,86,1
147,0,3,131390,1,0,0,8,1,0,60,0,3.191489362,0.010225791,0.77,9,241,77,1
148,5,1,132453,1,1,0,8,0,0,60,0,2.5,0.036648137,0.5275,65,235,26,1
149,0,1,132976,0,0,2,7,1,0,120,0,3.923076923,0.017431885,0.676666667,31,242,75,1
150,5,2,133322,1,5,1,2,0,0,60,0,3.764127764,0.105071718,0.6825,83,227,20,0
151,4,3,134212,1,4,0,1,0,0,60,0,4.204620462,0.087365315,0.86,98,256,21,1
152,5,0,134260,1,8,0,8,0,0,90,0,2.572972973,0.032598998,0.75,55,237,28,1
153,5,2,134851,1,8,2,4,0,1,120,0,5.305760709,0.246448425,0.707142857,173,239,13,1
154,4,1,134982,1,10,2,8,0,0,60,0,4.006802721,0.040354128,0.5925,48,264,49,1
155,0,3,135471,1,0,2,8,1,0,60,0,3.599045346,0.103424611,0.823333333,114,263,17,1
156,2,2,135792,1,9,2,4,0,0,60,0,2.983606557,0.049893624,0.71,37,83,14,0
157,5,1,137903,1,7,2,8,1,1,60,0,4.36610608,0.23155583,0.593333333,180,267,7,1
158,3,2,138704,1,9,0,7,0,0,60,0,2.942567568,0.059707638,0.7825,69,219,19,1
159,1,2,139250,0,6,0,1,0,0,60,0,2.80141844,0.027040011,0.922857143,56,220,19,1
160,5,0,140907,1,4,3,5,0,0,120,0,4.525939177,0.173563928,0.818888889,155,240,7,1
161,1,1,141949,0,0,2,1,0,1,60,0,2.715976331,0.031432297,0.854285714,55,268,20,1
162,2,3,142092,1,5,1,1,1,0,120,0,3.367041199,0.061629264,0.976666667,82,240,34,1
163,1,3,142324,0,0,2,2,1,1,120,0,2.648648649,0.013382747,0,45,258,43,1
164,2,2,142935,0,3,2,9,1,0,60,0,5.572827417,0.312401345,0.82,158,241,9,1
165,6,1,142990,1,9,2,1,0,0,30,1,2.272727273,0.001647107,0.14,10,149,81,0
166,5,0,143350,0,9,0,7,0,0,90,0,3.740740741,0.11776817,0.858571429,97,226,7,1
167,4,1,143711,1,0,0,4,0,0,60,0,3.687919463,0.075355158,0.88,107,260,24,1
168,5,1,144562,1,10,2,9,0,0,90,0,4.071274298,0.129297921,0.756666667,92,238,36,0
169,5,0,144747,1,3,1,4,0,1,150,0,2.445614035,0.047766111,0.8675,67,221,17,1
170,0,1,144801,0,8,1,7,1,0,60,0,3.475151515,0.19669206,0.633333333,196,267,7,1
171,1,3,145280,0,1,2,1,1,1,60,0,3.349315068,0.033491181,0.65,36,234,36,1
172,3,3,147328,0,8,0,7,0,0,60,0,2.425087108,0.095463592,0.7425,147,261,11,1
173,3,3,147715,0,11,0,4,0,0,60,0,2.212121212,0.035001029,0.815,61,237,17,0
174,5,3,149178,1,3,0,0,0,0,60,0,3.806070826,0.154828083,0.825714286,103,253,45,1
175,5,0,149693,1,12,2,2,0,0,60,0,3.746,0.128474367,0.796666667,86,238,32,1
176,5,3,150282,1,2,0,7,0,0,60,0,2.222222222,0.038363873,0.833333333,68,243,15,1
177,2,2,151549,1,11,2,6,1,0,30,0,2.766990291,0.019490769,0.72,21,75,22,0
178,3,3,152320,1,8,0,7,0,1,90,1,2.166666667,0.016882849,0.806666667,132,242,27,1
179,2,2,152428,0,11,0,1,0,0,120,0,4.485245902,0.093816485,0.6875,84,241,11,1
180,5,1,152587,0,8,2,3,1,1,90,0,4.844919786,0.248644568,0.83125,127,264,18,1
181,5,2,152626,1,5,2,0,1,0,60,0,3.762794476,0.317823073,0.53,201,240,5,1
182,1,0,152910,1,11,0,4,0,0,60,0,2.905525847,0.111797406,0.831428571,130,233,41,1
183,1,0,152929,0,5,2,9,1,0,60,0,3.027027027,0.015304372,0.774285714,25,217,36,1
184,3,3,153170,0,10,0,0,0,0,120,1,2.376470588,0.041520829,0.805,87,259,17,1
185,3,3,154073,1,7,0,7,0,0,90,0,1.992907801,0.019216251,0.645,35,244,38,0
186,5,2,155158,1,3,0,3,0,0,60,0,4.821782178,0.100199025,0.701111111,80,230,13,1
187,2,3,155298,1,8,0,8,0,0,60,0,1.934579439,0.014137671,0.830909091,134,264,32,1
188,0,1,155854,0,1,0,1,1,0,60,0,4.533199195,0.154553565,0.8,195,267,8,1
189,5,3,155938,1,8,0,5,0,0,60,0,4.024390244,0.113169995,0.837142857,94,264,30,1
190,2,3,155956,1,9,2,7,1,0,60,0,5.188976378,0.090385011,0.625,96,257,25,0
191,3,0,157298,1,7,2,1,1,0,60,0,2.853731343,0.065541143,0.65375,83,240,12,1
192,1,1,157795,1,12,2,7,1,1,60,0,3.061068702,0.082492622,0.902857143,110,265,21,1
193,4,3,158708,1,0,1,7,0,0,30,0,3.928838951,0.071923684,0.856666667,81,240,14,1
194,6,2,159571,0,12,0,5,0,0,30,0,3.090909091,0.030265596,0.766666667,34,143,20,0
195,6,2,160479,0,11,0,2,0,0,30,0,2.097560976,0.005833505,0.665,20,215,50,1
196,5,1,160934,1,10,2,2,0,0,120,0,1.521276596,0.009745385,0.66,17,80,14,0
197,6,2,160945,0,0,1,2,0,0,30,0,2.858695652,0.017980921,0.93,27,221,29,1
198,5,0,161658,0,11,2,0,0,1,225,0,4.93814433,0.065678402,0.57,19,94,37,0
199,2,2,162650,1,11,1,3,1,0,30,0,3.540229885,0.021069247,0.4825,37,215,16,0
200,5,3,164148,0,4,0,9,0,0,60,0,4.382550336,0.224006588,0.9175,91,246,36,1
201,6,1,164922,0,0,2,3,0,0,30,0,2.882352941,0.010019903,0.916666667,29,211,34,1
202,3,2,165178,0,11,0,3,0,1,120,0,2.153284672,0.020177064,0.572,53,212,52,0
203,1,0,165243,1,10,0,4,1,0,60,0,3.092592593,0.068698099,0.792857143,83,233,20,1
204,3,0,165733,1,6,0,1,0,0,60,1,2.477726575,0.110630705,0.608461538,142,239,23,0
205,6,2,165898,0,9,2,1,0,0,30,1,2.434782609,0.003774621,0,6,37,25,0
206,5,0,166327,1,1,2,1,0,0,60,1,3.732631579,0.12161142,0.773333333,151,239,8,1
207,3,0,166342,1,4,0,0,0,0,60,0,2.233463035,0.039324686,0.87625,52,226,20,1
208,5,0,167759,1,12,0,4,1,1,180,0,3.654244306,0.121062384,0.67,69,165,15,0
209,2,2,167791,1,5,0,1,1,0,60,0,3.603703704,0.066707844,0.811666667,120,223,58,1
210,1,1,169213,0,3,0,2,0,1,60,0,2.229166667,0.014618077,0.661428571,50,234,17,1
211,5,3,169596,1,11,2,7,1,2,90,0,2.69751693,0.081943587,0.72,90,199,21,0
212,4,2,170936,1,5,1,9,1,0,60,0,2.833333333,0.009264978,0.72,19,226,37,1
213,5,1,171304,1,10,2,0,0,0,60,0,3.927745665,0.09319882,0.543333333,47,133,22,0
214,0,1,172112,1,2,1,8,1,0,60,0,2.351791531,0.049481848,0.67,129,263,19,1
215,1,3,173163,0,9,0,9,1,0,60,0,2.52,0.030196967,0.275,23,199,34,0
216,1,0,173316,0,3,0,9,0,0,60,0,3.936585366,0.110699334,0.62,74,231,40,0
217,4,1,173710,1,0,1,7,1,0,90,0,3.363171355,0.090179123,0.886666667,155,251,7,1
218,5,0,174436,0,10,2,0,1,0,60,0,4.590909091,0.006862947,0,3,16,15,0
219,5,1,174468,1,0,2,6,0,1,60,0,1,0,0,1,0,0,0
220,1,1,174487,0,8,2,9,0,1,60,0,2.466019417,0.017363256,0.735714286,42,241,33,1
221,0,1,175392,1,4,1,5,1,0,60,0,3.668218859,0.216182829,0.803333333,190,266,5,1
222,0,1,175991,0,5,0,7,0,0,180,0,3.2,0.007617871,0.403333333,17,242,71,0
223,5,1,177568,1,8,0,7,0,2,60,0,2.884615385,0.015373001,0.8075,23,215,42,1
224,1,1,179254,0,7,2,2,0,1,60,0,1.666666667,0.003019697,0.6675,5,93,41,0
225,3,0,179892,0,3,1,9,0,0,60,0,2.976415094,0.129846956,0.90375,128,227,8,1
226,6,3,181251,0,8,2,4,2,0,30,0,2.375,0.00123533,0.6,2,35,35,0
227,4,2,182400,1,4,1,6,1,0,30,0,4.251879699,0.077551301,0.35,81,241,15,0
228,1,1,182661,0,8,2,3,1,3,60,0,3.714285714,0.001715737,0.8,1,0,0,1
229,2,3,182854,1,11,0,3,0,0,80,1,3.235294118,0.0414522,0.735,74,263,23,1
230,0,1,183096,0,9,0,5,0,0,60,0,3.716012085,0.084345618,0.536666667,112,242,12,1
231,3,3,184409,1,4,2,1,1,0,60,0,2.470489039,0.100473543,0.955,159,261,8,1
232,5,1,184473,1,6,0,4,0,0,60,0,4.295454545,0.02587331,0.4175,33,252,42,1
233,5,0,186380,1,0,1,8,0,0,60,0,4.423791822,0.163269508,0.88875,116,236,10,1
234,1,2,187257,0,8,1,4,1,0,60,0,2.019230769,0.014343559,0.811428571,43,199,34,1
235,3,0,187623,1,1,0,6,0,0,60,0,2.85046729,0.020863359,0.64125,47,226,25,0
236,1,0,188152,1,7,2,4,0,0,120,0,2.459102902,0.063894036,0.921428571,182,238,5,1
237,2,3,188251,1,4,2,1,0,0,30,1,3.3125,0.029030266,0.72,34,205,34,0
238,4,1,188273,0,0,0,9,0,0,60,0,3.352657005,0.047560222,0,85,241,29,1
239,4,2,188662,1,6,1,7,0,0,30,0,4.187165775,0.053668245,0,100,235,27,1
240,0,1,189879,1,6,0,8,0,0,120,0,4.248847926,0.063207741,0.813333333,83,248,34,1
241,1,2,190352,0,4,3,9,0,0,60,0,2.115942029,0.009951273,0.718571429,38,220,28,0
242,5,2,190930,1,2,1,3,0,0,90,0,3.666666667,0.04522682,0.736666667,56,241,31,1
243,3,3,191732,1,5,2,7,0,0,60,0,1.656716418,0.007549242,0.525,18,169,44,0
244,3,0,191896,0,3,2,9,1,0,60,0,2.27654321,0.063207741,0.63125,76,236,16,0
245,3,0,191972,1,2,0,3,0,4,120,0,3.495424837,0.183446572,0.74875,220,240,4,1
246,3,3,192375,0,8,1,5,0,0,120,0,2.9342723,0.085718207,0.82,102,242,11,1
247,1,3,193310,0,9,1,0,0,0,120,0,2.340909091,0.035275547,0.78,104,245,13,1
248,5,0,193834,1,4,2,9,0,3,120,0,3.269972452,0.081394551,0.6425,116,216,10,1
249,3,0,196266,0,6,2,9,0,0,240,0,1.987341772,0.010706197,0.465,11,158,109,0
250,5,3,197536,0,12,0,7,0,0,90,0,4.021276596,0.051815249,0.803333333,32,269,54,1
251,1,0,197595,0,3,1,2,1,0,60,0,2.561643836,0.051266214,0.802857143,59,233,13,1
252,1,1,197759,0,7,0,7,1,0,60,0,2.535603715,0.056138906,0.865714286,132,267,16,1
253,2,2,198902,1,3,2,0,0,0,60,0,3.552941176,0.02065747,0.44,38,167,56,0
254,0,3,199636,1,0,0,2,1,0,60,0,3.278846154,0.070139318,0.77,86,264,22,1
255,1,1,199663,1,3,4,2,1,0,60,0,2.511363636,0.015098483,0.591428571,37,229,28,1
256,3,0,199782,1,10,2,3,0,0,60,0,3.11965812,0.024981127,0.15,20,140,92,0
257,0,3,200804,1,8,0,8,0,0,60,0,3.034285714,0.036373619,0.7,59,241,39,1
258,3,0,200957,1,9,0,3,0,1,120,0,1.181818182,0.001715737,0.37,7,23,17,0
259,1,2,201431,0,10,2,4,1,0,120,0,2.563218391,0.015235742,0.861666667,38,232,38,1
260,1,2,202394,0,10,0,3,0,0,60,0,2.763565891,0.048864182,0.847142857,89,233,13,1
261,5,0,203050,0,7,0,5,1,1,100,0,3.363489499,0.142817926,0.735,160,235,8,1
262,3,1,203066,0,4,0,1,0,0,60,0,1.948228883,0.049001441,0.755,100,261,12,1
263,1,0,203108,0,9,0,5,0,1,120,0,1.835820896,0.008372795,0.836,11,72,28,0
264,1,0,203481,0,11,2,6,0,0,60,0,3.11,0.063962666,0.784285714,62,227,18,1
265,5,2,203568,0,0,2,3,0,1,180,0,4.856502242,0.148582801,0.706666667,52,158,12,0
266,6,2,203963,0,3,2,7,1,0,30,0,3.523809524,0.015167113,0.8225,36,198,25,1
267,6,2,204738,1,5,1,0,1,0,90,0,4.021390374,0.051540732,0.93,116,218,27,1
268,1,0,204746,0,3,0,0,0,0,120,0,2.6015625,0.022784984,0.802857143,46,226,19,1
269,0,1,205350,1,9,1,7,1,0,60,0,3.052631579,0.079541555,0.736666667,121,268,26,1
270,2,2,205425,1,0,0,4,0,0,60,0,3.08988764,0.056550683,0.914285714,147,257,37,1
271,0,3,205494,1,9,1,2,1,0,60,0,4.237569061,0.052570174,0.686666667,49,258,42,1
272,1,1,205788,0,0,2,3,1,0,120,1,1.877922078,0.049550477,0.797142857,119,260,13,1
273,1,2,206003,0,7,0,3,1,0,60,0,2.417910448,0.022167319,0.924285714,55,228,22,1
274,5,1,206599,1,9,0,8,0,0,90,0,3.25994695,0.084276989,0,125,262,27,1
275,1,2,226747,0,0,0,6,0,0,60,0,2.916167665,0.033353922,0.86,42,200,16,1
276,3,3,226895,1,8,1,8,1,1,150,0,2,0.000205888,0.77375,75,177,20,1
277,3,1,227020,1,5,0,2,0,0,60,0,1.780141844,0.017157367,0.725,45,244,27,0
