,code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,vleAvBef,vleSumNorm,avAssNorm,res
95,0,1,45462,1,6,1,2,0,0,60,0,4.304347826,0.061080228,0.656666667,1
96,0,1,45642,0,5,0,8,0,0,120,0,2.57771261,0.060256674,0.72,1
97,3,0,45664,1,12,1,5,0,1,60,0,2.58490566,0.056344794000000004,0.486,1
98,2,3,46705,1,2,1,4,1,0,60,0,2.732673267,0.056756571,0.9925,0
99,3,2,46753,0,0,0,5,1,0,60,0,3.2795180719999997,0.093336079,0.7275,1
100,4,3,47061,1,1,0,8,0,0,30,0,3.3380281689999998,0.016196555,0.7466666670000001,1
101,5,3,47861,1,7,0,4,0,0,60,1,4.993955095,0.39681559299999997,0.638,1
102,1,3,47891,0,10,2,9,0,4,60,0,2.145454545,0.008029648,0.656666667,0
103,5,1,47924,1,11,2,0,1,0,60,0,2.615384615,0.002264772,0.41,0
104,1,1,48040,0,1,0,1,1,0,120,0,2.291581109,0.076521858,0.752857143,1
105,1,1,48503,0,11,2,9,0,0,60,0,2.7439999999999998,0.023471278999999998,0.77,1
106,5,2,48635,1,8,1,8,0,0,60,0,3.970149254,0.16423032,0.857777778,1
107,2,2,49119,1,2,1,9,0,0,90,0,2.785467128,0.055178093,0.778333333,1
108,6,2,49123,1,12,2,4,0,0,30,0,4.861842105,0.050648548,0.865,1
109,1,2,50069,0,6,0,2,0,0,90,0,2.5562130180000002,0.029579301000000002,0.848333333,0
110,5,0,50263,1,11,1,7,1,0,60,0,5.0839895010000005,0.265801935,0.763,1
111,3,2,50476,0,9,1,0,0,0,60,0,2.2242424240000003,0.025118386,0.88,1
112,5,1,50487,0,0,2,8,0,1,60,0,4.932389937,0.21522201600000002,0.82625,1
113,1,0,50993,0,6,2,0,0,0,60,1,2.097222222,0.01029442,0.585,0
114,3,2,51030,1,11,0,5,0,0,60,0,2.1455399059999998,0.031295038,0.8425,1
115,3,3,51033,0,8,0,7,0,0,60,0,2.238372093,0.052776062,0.94,1
116,5,1,51485,1,11,2,9,0,0,120,0,3.1555555560000004,0.077894448,0.915,1
117,5,1,51576,0,3,2,9,0,0,90,0,5.820158103,0.202045158,0.859166667,1
118,3,3,51955,1,6,0,7,0,0,60,1,1.424242424,0.022510466,0.55,0
119,3,0,52014,0,10,2,0,1,2,120,0,2.65,0.014480818000000001,0.45625,0
120,0,1,52130,0,0,0,6,0,0,90,0,3.3449367089999997,0.07247272,0.716666667,1
121,5,3,52275,1,3,3,0,0,0,90,0,3.37037037,0.0061766519999999995,0.38,0
122,1,2,52426,0,6,2,6,1,1,60,0,2.193548387,0.004598174,0.73,0
123,6,3,52702,0,6,2,1,1,0,30,0,2.414634146,0.0067256880000000005,0.7,1
124,1,1,52899,0,1,2,4,1,1,90,0,3.0255102039999997,0.081325921,0.815,1
125,0,1,53025,1,4,4,8,2,0,60,0,3.539449541,0.132317617,0.763333333,1
126,5,2,53136,0,3,0,2,0,1,120,0,4.209606987,0.132248988,0.772857143,1
127,5,1,53166,0,4,2,3,0,0,60,0,5.727002967000001,0.13238624699999998,0.695,1
128,5,0,53197,0,5,3,0,0,0,60,0,2.727272727,0.004049139,0.0,0
129,2,3,53300,1,11,0,8,0,0,270,0,3.605769231,0.077139524,0.902,1
130,5,1,53626,1,6,1,2,1,0,60,1,2.785714286,0.00260792,0.0,0
131,5,2,53709,1,10,0,2,0,1,60,0,10.48780488,0.029442042,0.8059999999999999,1
132,3,3,54810,1,8,1,3,0,1,60,0,2.387096774,0.0050099509999999995,0.838333333,1
133,5,2,54867,0,9,2,1,0,0,120,0,3.6167664669999997,0.04138357,0.74,0
134,5,1,54882,1,6,2,2,0,1,60,0,2.857142857,0.030128337,0.56,0
135,5,1,55013,1,4,0,9,0,0,120,0,2.99009901,0.04138357,0.5325,0
136,1,1,55026,0,3,0,1,1,0,60,1,2.68852459,0.011186604,0.7516666670000001,1
137,3,0,55242,0,5,2,2,0,0,60,0,1.4444444440000002,0.0008235539999999999,0.0,0
138,5,0,55450,1,7,0,2,1,1,120,0,3.675090253,0.06979617,0.78,0
139,1,2,55968,0,10,2,9,0,0,120,0,2.994791667,0.039393315,0.673333333,0
140,1,1,56340,0,8,2,1,0,0,60,0,2.0,0.000205888,0.0,0
141,3,1,57227,0,5,2,5,0,1,160,0,2.574712644,0.061423375,0.84,1
142,1,3,57285,0,3,0,0,0,0,60,0,2.6,0.004392286,0.47666666700000004,1
143,2,2,57340,0,0,0,1,0,0,120,0,2.9488636360000005,0.035550065,0.705,1
144,0,1,57506,1,8,2,6,1,0,60,0,3.713740458,0.066707844,0.74,1
145,3,1,57818,1,10,0,7,1,0,60,0,3.2209106239999996,0.131013657,0.95,1
146,0,3,58071,1,0,1,8,2,0,60,0,4.715434084,0.201221605,0.76,1
147,5,1,58077,1,4,2,1,0,1,60,0,1.761904762,0.002470661,0.0,0
148,1,0,58089,0,11,0,3,0,2,90,0,2.2790697669999997,0.006657059,0.875,0
149,0,3,58316,0,10,0,6,0,0,120,0,3.218181818,0.060668451,0.73,1
150,5,0,58549,1,4,0,0,0,0,120,0,3.631205674,0.105346236,0.96,1
151,3,2,58617,1,1,0,6,0,0,60,0,3.1751152069999997,0.047217075,0.475,0
152,5,1,58640,1,6,0,4,0,0,90,1,2.208762887,0.058746825999999995,0.6075,1
153,1,3,58653,0,5,2,7,1,1,120,0,2.370786517,0.014412188999999999,0.47333333299999997,1
154,3,3,58731,0,9,0,3,0,1,110,1,1.964285714,0.007480611999999999,0.59,1
155,0,1,58873,0,0,0,1,0,0,60,0,3.7162162160000003,0.075423787,0.716666667,1
156,5,3,58884,1,8,0,3,1,0,90,1,4.005722461,0.192093885,0.921428571,1
157,0,1,59185,1,0,2,5,1,0,60,0,3.617647059,0.059021344,0.72,1
158,1,3,59272,0,7,2,5,0,0,60,0,3.422310757,0.058884085,0.65,1
159,3,1,59275,1,6,1,3,0,0,60,0,3.4142857139999996,0.032736257000000005,0.525,0
160,3,1,59370,1,2,0,0,1,0,180,0,2.71942446,0.077757189,0.7125,1
161,3,0,60135,0,11,0,4,0,0,60,0,3.164520744,0.151739757,0.7042857140000001,1
162,6,1,60405,0,12,0,9,1,0,30,0,3.525,0.019284881,0.89,1
163,2,3,60809,1,7,2,8,0,0,120,0,5.108225108,0.080914145,0.914285714,1
164,4,3,60809,1,7,2,8,0,0,120,0,3.044198895,0.07556104599999999,0.0,1
165,1,2,60830,0,8,1,5,0,0,120,0,3.197802198,0.059844897,0.7771428570000001,1
166,2,2,62278,1,11,0,2,0,0,40,0,2.494382022,0.060874339000000006,0.66,0
167,0,3,62487,0,1,0,9,0,0,60,0,2.6075268819999997,0.033216663,0.76,1
168,1,0,62631,0,5,0,1,0,0,60,0,3.301886792,0.035961842,0.804285714,0
169,6,1,62975,1,8,2,2,1,0,30,0,2.620689655,0.01036305,0.7666666670000001,0
170,3,3,63015,0,0,2,6,1,1,60,0,2.207843137,0.038569762,0.84,0
171,4,1,63112,1,7,2,7,1,0,60,0,5.343283582,0.17191682100000003,0.676666667,1
172,0,3,63165,1,7,0,7,1,0,60,0,2.922279793,0.038638391,0.485,1
173,5,1,63295,1,8,1,8,1,0,150,0,2.839285714,0.032667627000000005,0.726666667,1
174,0,1,63400,1,6,2,3,1,0,60,0,4.131455399,0.120719237,0.676666667,1
175,1,3,63467,0,5,0,4,1,0,120,0,3.08490566,0.022373207000000003,0.543333333,1
176,1,2,63721,0,7,2,7,0,0,60,1,2.171821306,0.043305195,0.82,1
177,3,1,63856,1,6,0,5,1,1,60,0,2.285714286,0.031775444,0.6525,1
178,6,3,63949,0,2,2,2,0,0,30,0,3.219178082,0.016059296,0.865,1
179,5,2,63958,1,8,2,9,0,0,60,0,2.0370370369999997,0.007480611999999999,0.0,0
180,1,2,64275,0,11,2,0,0,2,60,1,2.65,0.010843456000000001,0.807142857,1
181,2,2,64296,1,6,1,1,0,0,60,0,4.306122449,0.043373825,0.865,0
182,3,2,64450,1,11,2,2,0,1,120,0,3.43197756,0.167867682,0.455,1
183,0,3,65002,0,0,0,6,0,1,60,0,3.0,0.000137259,0.67,0
184,2,2,66254,0,2,0,4,0,0,30,0,3.478743068,0.129092032,0.7375,0
185,3,1,66577,0,5,1,9,0,1,60,0,1.9066666669999999,0.009745385,0.83,0
186,4,1,66713,1,8,0,8,0,0,60,0,4.764900662,0.09868917699999999,0.763333333,1
187,6,1,67182,0,8,0,7,1,0,30,0,2.095890411,0.010431679000000001,0.825,1
188,3,1,67471,0,3,2,1,0,2,60,0,2.3858267719999997,0.041520829,0.68,1
189,4,3,67539,1,2,2,9,0,0,60,0,3.7096774189999997,0.063070482,0.683333333,1
190,3,0,67602,1,2,2,2,0,1,60,0,2.073394495,0.030951891000000002,0.53875,1
191,4,3,67685,1,8,0,9,0,0,180,0,2.852295409,0.09800288199999999,0.79,1
192,3,2,67781,0,8,0,1,0,0,60,0,2.343478261,0.073913939,0.7425,1
193,3,0,67785,0,3,2,1,0,0,120,1,2.7755102039999997,0.055933018,0.76375,1
194,5,1,68107,0,3,0,4,0,0,60,1,3.7397260269999997,0.149818132,0.8766666670000001,1
195,5,0,68208,1,6,1,6,1,2,270,0,4.003384095,0.32468602,0.6425,0
196,3,3,68417,1,6,2,6,0,0,60,0,3.0671641789999997,0.056344794000000004,0.8375,1
197,1,1,68556,0,7,1,6,0,0,60,0,1.849056604,0.006657059,0.57,0
198,2,2,69703,1,12,2,1,0,0,120,0,2.735849057,0.02978519,0.7975,1
199,0,3,70011,0,6,1,3,0,0,60,0,3.5135416669999997,0.23141857100000002,0.76,1
200,4,1,70214,1,10,2,6,0,0,120,0,4.512287335,0.163749914,0.475,1
201,2,2,70381,1,6,1,2,1,0,30,0,2.53125,0.027726306000000003,0.7225,1
202,2,3,70495,1,6,2,4,0,0,60,0,3.306034483,0.052570174000000004,0.8866666670000001,1
203,5,1,70495,1,6,2,4,0,0,60,0,4.227091633,0.218378972,0.0,1
204,1,3,70569,0,10,2,0,0,3,60,0,3.842975207,0.031844074,0.483333333,1
205,1,0,70608,0,7,1,6,1,0,240,0,2.236111111,0.010980715,0.8214285709999999,1
206,5,3,71159,1,4,2,7,1,0,60,0,4.214015152,0.15263194,0.593333333,1
207,3,1,71209,1,7,2,4,1,0,60,0,1.589285714,0.012147416000000001,0.615,1
208,5,1,71252,1,5,2,0,0,0,60,1,1.825503356,0.018598586,0.7775,1
209,5,0,71275,0,2,2,4,1,1,150,0,1.0,0.0,0.0,0
210,0,1,71361,1,2,1,0,1,0,60,0,3.5486542439999997,0.11756228099999999,0.833333333,1
211,1,0,71433,0,5,0,4,0,1,150,0,1.5,0.004049139,0.0,0
212,1,3,71504,0,0,0,1,1,0,120,0,2.536458333,0.033353922,0.91,1
213,5,0,71578,1,8,0,8,0,0,60,0,2.3539325840000003,0.028687117999999998,0.785,1
214,2,3,71723,1,5,0,9,0,0,30,0,3.424,0.029304782999999997,0.611428571,0
215,3,2,71723,1,5,0,9,0,0,60,0,2.083333333,0.017088738,0.0,0
216,5,2,72114,1,4,0,3,0,1,120,1,3.7312834219999997,0.19147622,0.79875,1
217,1,2,72400,0,0,0,5,0,0,120,1,2.061068702,0.018461327,0.814285714,1
218,2,3,72609,0,10,2,4,1,0,120,0,3.57790927,0.248919086,0.6525,0
219,5,0,72693,0,12,2,3,0,0,140,1,4.078125,0.071580537,0.7859999999999999,1
220,1,1,73489,0,8,1,7,0,0,120,0,3.489675516,0.081120033,0.725714286,1
221,3,3,73664,1,5,0,3,0,0,120,0,1.428571429,0.006108023000000001,0.25,0
222,5,0,74113,1,12,0,0,0,1,60,0,3.376623377,0.035618695,0.6166666670000001,0
223,5,3,74165,1,11,0,2,0,0,60,0,4.69787234,0.075698305,0.875,1
224,0,1,74372,1,0,0,9,1,0,150,0,1.68,0.005696245999999999,0.483333333,0
225,5,2,74521,1,4,1,0,1,0,120,0,3.2265625,0.028275341000000002,0.573333333,1
226,1,1,74585,0,10,0,5,1,0,60,0,7.683333332999999,0.34795141,0.8542857140000001,1
227,1,0,74734,0,5,2,0,0,0,180,0,1.8352941180000002,0.010637568,0.795,1
228,5,3,75107,1,4,2,2,1,0,60,0,3.739035088,0.233957862,0.941666667,1
229,0,3,75255,1,5,0,3,0,0,120,0,3.371980676,0.04783474,0.776666667,1
230,1,0,75399,0,0,2,5,1,0,60,0,1.884297521,0.01557889,0.725,1
231,3,3,75427,1,1,2,1,0,0,60,0,3.068669528,0.04900144099999999,0.7425,0
232,6,1,75442,0,3,2,9,0,0,30,0,1.0,0.0,0.0,0
233,2,2,75454,1,9,0,7,0,0,120,0,6.637426901,0.23361471399999997,0.8475,1
234,2,2,75728,0,9,1,2,1,0,30,0,4.1696428569999995,0.12813122,0.685,0
235,3,0,76536,0,11,2,5,0,1,120,0,1.285714286,0.001166701,0.6625,0
236,0,1,77367,1,1,0,2,0,0,60,0,2.6947368419999997,0.035069658999999996,0.736666667,1
237,5,3,77692,1,10,1,4,1,0,60,0,5.628140704,0.076796376,0.85,1
238,5,1,77744,1,5,0,3,0,0,60,0,3.671018277,0.096424405,0.825,1
239,3,0,77763,1,0,1,1,1,0,150,0,2.357594937,0.051060325,0.93125,1
240,5,2,77845,1,1,0,2,0,0,120,0,3.371428571,0.03232448,0.683333333,0
241,5,3,77995,1,1,0,9,0,0,60,0,2.255813953,0.013245488,0.736666667,1
242,3,1,78170,0,11,2,2,0,0,60,0,3.098484848,0.14027863599999998,0.815,0
243,1,2,78255,0,4,2,0,0,2,120,0,1.6329113919999998,0.008784572,0.7875,0
244,1,0,78645,0,0,2,3,0,0,60,0,2.118556701,0.028138082000000002,0.7325,0
245,5,1,79261,1,8,0,8,0,0,90,0,3.0719696969999997,0.05558987,0.8125,1
246,1,0,79378,0,3,2,1,1,4,120,1,1.0,0.0,0.0,0
247,2,3,79461,1,6,0,6,0,1,60,0,1.0,0.0,0.40666666700000004,0
248,5,3,79610,1,11,0,5,0,0,60,0,4.22752809,0.103218722,0.87,1
249,1,2,80001,0,9,2,2,0,0,60,0,1.0,0.0,0.0,0
250,2,3,80329,1,8,2,7,0,1,90,0,3.9378238339999996,0.052089767,0.698,1
251,3,3,80329,1,8,2,7,0,2,90,0,1.692015209,0.030471484,0.0,1
252,4,3,80358,1,6,2,5,0,0,120,0,2.795121951,0.039256057000000004,0.71,1
253,5,3,80438,1,1,0,8,0,0,120,0,6.255905512000001,0.218035825,0.938571429,1
254,1,1,80717,0,9,2,5,1,0,60,0,3.252268603,0.12291538,0.912857143,1
255,2,3,80868,1,9,2,7,0,0,60,0,8.205488193999999,0.8823690890000001,0.735,1
256,3,1,80868,1,9,2,7,0,0,60,0,3.617594255,0.138219752,0.0,1
257,3,0,81351,1,6,1,8,1,1,60,1,2.5,0.0414522,0.7875,0
258,5,1,81536,1,6,2,7,1,1,60,0,2.7085714289999996,0.032461738999999996,0.68,0
259,5,3,82201,0,3,2,4,0,1,60,0,2.0,6.86e-05,0.65,0
260,6,1,82341,0,7,2,8,0,0,30,1,2.478873239,0.012010156999999999,0.7666666670000001,1
261,2,2,82575,1,11,1,7,0,0,30,0,2.718181818,0.020451582,0.9175,1
262,1,0,82741,0,0,2,4,0,0,60,0,2.531007752,0.044746414000000005,0.7542857140000001,1
263,5,0,82817,0,3,1,1,1,1,60,0,2.771084337,0.031500926,0.836666667,1
264,2,2,83219,0,11,0,0,0,0,60,0,3.773755656,0.057168348,0.782857143,1
265,4,2,83219,0,11,0,0,0,0,60,0,3.868194842,0.092581154,0.0,1
266,1,0,83254,0,3,1,9,1,0,60,0,2.276595745,0.036648137000000004,0.7685714290000001,1
267,3,3,83553,1,11,2,2,0,1,60,0,2.519230769,0.026902752000000002,0.6166666670000001,0
268,3,1,83588,1,9,1,4,1,2,60,0,1.0,0.0,0.7075,0
269,5,2,83603,1,3,0,5,1,0,60,0,3.287846482,0.105758012,0.72,1
270,5,0,84051,1,10,0,5,0,0,120,0,2.544303797,0.013725893999999999,0.78,0
271,1,0,84245,1,10,0,4,0,0,120,0,2.152892562,0.035687324,0.84375,1
272,5,2,84299,1,3,0,1,0,0,120,0,2.0640394090000003,0.028687117999999998,0.67375,1
273,1,3,84541,0,4,0,9,0,0,120,0,2.8870967739999998,0.012216046000000001,0.34,0
274,3,2,84576,1,10,1,2,1,0,150,0,2.8457831330000003,0.08098277400000001,0.94,1
275,3,2,84605,1,4,0,6,1,1,120,0,3.403669725,0.025392903999999997,0.867142857,1
276,1,0,84664,0,5,0,5,1,0,60,0,2.762589928,0.026285087000000002,0.8785714290000001,1
277,0,3,85144,1,6,0,4,1,0,60,0,2.36407767,0.033353922,0.7666666670000001,1
278,3,2,85216,0,6,1,9,1,1,195,0,1.0,0.0,0.0,0
279,0,3,85302,1,3,2,7,1,0,60,0,3.229166667,0.09566948,0.71,1
280,3,0,86047,0,10,1,1,0,0,60,0,2.486842105,0.03884428,0.565,1
281,5,1,86669,1,1,0,3,0,1,220,0,4.257763975,0.094022373,0.892857143,1
282,3,0,87107,0,9,1,6,0,0,60,0,2.2408163269999997,0.037608948999999996,0.731666667,1
283,5,0,87152,1,0,2,1,0,0,60,1,3.71009772,0.07810033599999999,0.8140000000000001,1
284,5,3,87264,1,7,2,2,0,0,60,0,4.893432466,0.27094914600000003,0.9540000000000001,1
285,5,3,87322,1,10,2,4,0,0,120,1,2.52173913,0.043716972,0.786666667,1
286,6,1,87929,0,3,0,4,0,0,30,0,3.9484536080000003,0.026216457000000002,0.8,1
287,3,3,88439,0,0,1,2,0,0,60,0,1.9111111109999999,0.023539908,0.88,1
288,4,1,88568,1,5,1,6,1,0,30,0,4.170172084,0.149612243,0.906666667,1
289,5,1,88781,1,7,0,5,0,1,60,0,3.107623318,0.047491593,0.5525,0
290,3,2,88910,0,5,2,9,0,1,180,0,2.084388186,0.033834328,0.64,1
291,1,2,89092,0,10,2,4,0,2,60,0,1.8493150680000001,0.009196349,0.7042857140000001,1
292,3,1,89188,0,8,0,4,0,0,60,1,2.445783133,0.069590282,0.67,1
293,4,3,89545,1,8,1,8,0,0,30,0,2.8476190480000003,0.020451582,0.8633333329999999,1
294,3,1,89727,0,10,0,3,0,0,70,0,2.2319999999999998,0.019078993,0.56,0
295,1,2,89778,1,7,0,6,0,1,120,0,1.842105263,0.004735433,0.9185714290000001,1
296,1,3,89850,0,8,1,8,0,0,120,0,3.2015503880000002,0.056619312000000005,0.58,1
297,5,0,89895,1,12,2,3,0,0,60,0,3.8698795180000003,0.220369227,0.768333333,1
298,1,1,90243,0,10,1,6,1,0,60,0,3.52,0.05428591,0.648571429,1
299,1,2,90361,0,10,1,1,1,0,60,0,1.878787879,0.008441425,0.794285714,1
300,3,2,90537,0,6,0,8,0,0,60,1,1.6368038740000002,0.046324892,0.71,1
301,3,0,90836,1,11,0,4,0,0,180,1,1.91509434,0.013863153000000001,0.0,0
302,5,1,90901,1,8,1,1,1,0,120,0,3.7035714289999997,0.07110013,0.8525,1
303,3,1,90979,0,0,1,7,1,0,120,0,1.846153846,0.009814014,0.65,0
